Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Land Contour,Lot Config,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Total_Bathrooms,Total_Porch_SF,Lot Area_Log,SalePrice_Log
271,907401090,20,5,48.0,10635,1,3,2,5,2,0,2,8,5,2003,2003,3,13,1,171.0,4,3,2,4,3,0,1,370.0,2,972.0,315.0,1657.0,5,1,4,1668,0,0,1668,1.0,0.0,2,0,3,1,4,8,7,1,1,2003.0,0,2.0,2,0,262,0,0,0,0,0,5,2010,9,4,232000,3.0,262,9.27199975236291,12.354496960983985
272,907410080,20,5,70.0,8400,3,3,4,5,2,0,2,7,5,2004,2005,1,13,1,109.0,4,3,2,4,3,0,2,712.0,6,0.0,761.0,1473.0,5,1,4,1484,0,0,1484,1.0,0.0,2,0,3,1,4,7,7,0,1,2004.0,2,2.0,2,0,35,0,144,0,0,0,5,2010,9,4,213000,3.0,179,9.036106025364846,12.269052139516223
273,907414030,20,5,65.0,8773,3,3,2,5,2,0,2,7,5,2004,2004,1,13,1,98.0,4,3,2,4,3,0,2,24.0,6,0.0,1390.0,1414.0,5,1,4,1414,0,0,1414,0.0,0.0,2,0,3,1,4,6,7,0,1,2004.0,2,2.0,2,132,105,0,0,0,0,0,5,2010,9,4,185500,2.0,105,9.07954808172616,12.130815551850676
274,908102060,30,5,67.0,8777,3,3,4,7,1,0,2,3,6,1945,2007,1,13,3,0.0,3,4,1,0,0,4,4,0.0,4,0.0,0.0,0.0,3,0,4,640,0,0,640,0.0,0.0,1,0,2,1,3,5,2,0,5,1945.0,3,1.0,0,0,0,0,0,0,0,0,4,2010,3,4,84900,1.0,0,9.080003870248179,11.349241150793087
275,908102110,20,5,68.0,8842,3,3,0,7,2,0,2,5,6,1954,1954,1,13,3,0.0,3,4,1,2,3,3,6,0.0,6,0.0,381.0,381.0,5,1,4,992,0,0,992,0.0,0.0,1,0,3,1,3,6,7,0,5,1954.0,3,1.0,2,60,0,56,0,0,0,0,1,2010,7,0,155891,1.0,56,9.087381464575735,11.956918738783733
276,908102130,90,5,75.0,9825,3,3,4,7,2,2,2,5,5,1965,1965,3,1,3,0.0,3,3,1,0,0,4,4,0.0,4,0.0,0.0,0.0,3,0,4,1664,0,0,1664,0.0,0.0,2,0,4,2,3,8,7,0,6,0.0,1,0.0,2,0,0,0,0,0,0,0,5,2010,9,4,100000,2.0,0,9.192787212728593,11.51293546492023
277,908102170,20,5,60.0,10044,0,2,1,7,2,0,2,5,6,1968,1968,1,8,3,0.0,3,3,1,4,3,1,0,1070.0,6,0.0,126.0,1196.0,3,1,4,1196,0,0,1196,1.0,0.0,1,0,3,1,3,6,7,0,1,1968.0,2,1.0,2,257,0,168,0,0,0,0,6,2010,9,4,144000,2.0,168,9.214830277249035,11.87757552297847
278,908102300,50,5,89.0,11792,3,3,4,7,2,0,0,4,5,1948,1950,1,13,3,0.0,3,3,1,3,3,3,6,0.0,6,0.0,744.0,744.0,5,0,1,792,328,0,1120,0.0,0.0,1,0,2,1,2,5,7,0,5,1956.0,3,2.0,1,0,0,0,0,160,0,0,6,2010,9,0,64000,1.0,160,9.37526141408997,11.06665398721974
279,908103350,80,5,65.0,6305,3,3,4,7,2,0,7,6,6,1975,1975,1,9,3,0.0,3,3,1,3,3,0,0,528.0,6,0.0,480.0,1008.0,3,1,4,1096,0,0,1096,1.0,0.0,1,0,3,1,3,5,7,1,5,1975.0,3,1.0,2,0,0,0,0,0,0,0,6,2010,9,4,125200,2.0,0,8.749256840105007,11.737675724836684
280,908152080,80,5,94.0,7819,3,3,4,7,2,0,7,6,5,1976,1976,1,9,3,0.0,3,3,1,3,3,0,0,422.0,1,127.0,480.0,1029.0,3,1,4,1117,0,0,1117,1.0,0.0,1,0,3,1,3,6,7,1,5,1976.0,3,2.0,2,144,0,0,0,0,0,0,3,2010,9,0,107000,2.0,0,8.964439833539357,11.580593459194764
281,908203100,20,5,64.0,6410,3,1,4,7,2,0,2,4,5,1958,1958,3,15,3,0.0,3,3,1,3,3,3,6,0.0,6,0.0,960.0,960.0,5,1,4,960,0,0,960,0.0,0.0,1,0,3,1,3,5,7,0,6,0.0,1,0.0,2,0,0,0,0,0,0,0,5,2010,9,4,90000,1.0,0,8.765770543987257,11.407576060361786
282,908208020,20,6,80.0,8546,3,3,0,7,2,0,2,4,5,2003,2004,1,13,3,0.0,3,3,2,4,3,3,6,0.0,6,0.0,1121.0,1121.0,5,1,4,1121,0,0,1121,0.0,0.0,2,0,2,1,3,5,7,0,1,2003.0,2,2.0,2,132,64,0,0,0,0,0,3,2010,9,4,140000,2.0,64,9.053335623166017,11.849404844423074
283,908225320,50,5,52.0,8741,3,3,4,7,2,0,0,6,4,1945,1950,1,13,3,0.0,3,3,1,3,2,3,3,94.0,6,0.0,641.0,735.0,3,1,0,798,689,0,1487,0.0,0.0,1,1,3,1,3,7,7,1,5,1949.0,3,1.0,2,0,140,0,0,0,0,0,4,2010,9,4,113000,1.5,140,9.07589427542326,11.635151947212842
284,908226130,190,5,60.0,12180,3,3,4,7,2,1,0,4,4,1941,1950,1,8,3,0.0,3,2,0,4,3,3,1,348.0,6,0.0,324.0,672.0,2,0,0,672,252,0,924,1.0,0.0,1,0,2,1,2,5,7,0,5,1941.0,3,1.0,2,0,0,0,0,0,0,0,7,2010,9,4,80000,2.0,0,9.407632639699958,11.289794413577894
285,908275300,20,5,68.0,8562,3,3,4,7,2,0,2,5,6,1957,2002,3,6,4,145.0,3,3,1,3,3,0,5,383.0,6,0.0,833.0,1216.0,5,1,0,1526,0,0,1526,0.0,0.0,1,0,4,1,3,7,3,1,2,1957.0,3,1.0,2,116,78,0,0,0,0,0,5,2010,9,4,144500,1.0,78,9.055205875026193,11.881041706925902
286,909100080,30,5,67.0,4853,3,0,4,21,0,0,2,5,6,1924,1999,1,8,1,203.0,3,3,0,3,3,2,5,133.0,6,0.0,974.0,1107.0,2,0,0,1296,0,0,1296,0.0,0.0,2,0,2,1,2,5,7,1,5,1979.0,3,1.0,2,0,0,36,0,0,0,0,5,2010,9,4,104000,2.0,36,8.487558386286548,11.552155793461898
287,909100110,70,5,66.0,6858,3,0,0,21,2,0,5,6,4,1915,1950,1,14,3,0.0,3,3,2,4,3,3,6,0.0,6,0.0,806.0,806.0,3,0,1,841,806,0,1647,1.0,0.0,1,1,4,1,2,6,7,0,5,1920.0,3,1.0,2,0,66,136,0,0,0,0,5,2010,9,4,128000,2.5,202,8.83331693749932,11.759793355371237
288,909101070,30,5,45.0,8212,3,3,4,7,2,0,2,3,3,1914,1950,1,12,3,0.0,3,2,0,3,2,3,5,203.0,6,0.0,661.0,864.0,3,0,1,864,0,0,864,1.0,0.0,1,0,2,1,3,5,7,0,5,1938.0,3,1.0,2,0,0,96,0,0,0,0,6,2010,9,4,58500,2.0,96,9.013473543740192,10.97679912709094
289,909176140,50,5,50.0,5000,3,3,4,21,2,0,0,5,6,1924,1950,1,3,3,0.0,3,3,0,3,3,3,3,218.0,6,0.0,808.0,1026.0,3,1,4,1026,665,0,1691,0.0,0.0,2,0,3,1,4,6,7,1,5,1924.0,3,1.0,2,0,0,242,0,0,0,0,5,2010,9,4,127000,2.0,242,8.517393171418904,11.751950239425476
290,909176150,30,5,60.0,7890,3,3,0,21,2,0,2,6,6,1939,1950,1,14,3,0.0,3,3,1,3,3,3,5,238.0,6,0.0,618.0,856.0,3,1,4,856,0,0,856,1.0,0.0,1,0,2,1,3,4,7,1,5,1939.0,3,2.0,2,0,0,0,0,166,0,0,3,2010,9,4,126000,2.0,166,8.973478148521036,11.744045122410057
291,909177100,90,4,60.0,7200,3,3,4,21,2,2,5,4,6,1967,1967,0,9,3,0.0,3,3,3,0,0,4,4,0.0,4,0.0,0.0,0.0,3,1,4,862,1788,0,2650,0.0,0.0,3,0,6,2,3,10,3,0,6,0.0,1,0.0,2,0,0,0,0,0,0,500,2,2010,9,4,160000,3.0,0,8.881975184248867,11.982935344196433
292,909250030,50,5,51.0,9839,3,3,4,21,1,0,0,5,2,1931,1950,1,13,3,0.0,3,3,2,3,2,3,6,0.0,6,0.0,894.0,894.0,5,1,4,894,772,0,1666,1.0,0.0,1,0,3,1,3,7,7,1,6,0.0,1,0.0,0,0,156,0,0,0,0,0,5,2010,9,4,100000,2.0,156,9.1942109900463,11.51293546492023
293,909250060,50,5,50.0,9638,3,3,4,21,1,0,0,6,7,1919,1990,1,14,3,0.0,3,3,2,3,3,3,6,0.0,6,0.0,804.0,804.0,5,1,4,1699,748,0,2447,0.0,0.0,2,0,4,1,4,10,3,1,5,1969.0,3,1.0,2,272,0,42,0,116,0,0,3,2010,9,4,169000,2.0,158,9.173572647783969,12.037659911047468
294,909281080,50,5,78.0,10452,0,3,4,6,2,0,0,7,6,1941,1985,1,14,1,371.0,4,4,0,4,3,3,0,426.0,1,252.0,850.0,1528.0,5,1,4,1225,908,0,2133,1.0,0.0,1,1,4,1,3,8,7,2,1,1941.0,3,1.0,2,0,0,86,0,0,0,0,7,2010,9,4,257500,2.5,86,9.254644297532707,12.458778882573533
295,909426080,90,5,78.0,15600,3,3,4,6,2,2,5,5,6,1950,1991,1,13,1,430.0,3,4,1,3,3,3,0,375.0,6,0.0,657.0,1032.0,5,1,4,1102,1075,0,2177,0.0,0.0,2,1,5,2,3,11,7,0,5,1950.0,3,2.0,2,0,0,0,0,0,0,0,3,2010,9,4,215000,2.5,0,9.65509029374725,12.278397958261774
296,909427230,70,5,66.0,9042,3,3,4,6,2,0,5,7,9,1941,2006,1,5,3,0.0,5,4,4,3,4,3,2,275.0,6,0.0,877.0,1152.0,5,1,4,1188,1152,0,2340,0.0,0.0,2,0,4,1,4,9,7,2,1,1941.0,2,1.0,2,0,60,0,0,0,0,2500,5,2010,9,4,266500,2.0,60,9.10974625674048,12.493133274926212
297,909428280,20,5,100.0,17500,3,3,4,6,3,0,2,7,8,1959,2002,1,3,3,0.0,4,4,2,4,3,0,2,1406.0,6,0.0,496.0,1902.0,3,1,4,1902,0,0,1902,1.0,0.0,2,0,3,1,5,7,7,2,1,1959.0,0,2.0,2,0,207,162,0,0,0,0,5,2010,9,4,335000,3.0,369,9.770013301136158,12.721888795877375
298,909452114,80,5,85.0,19645,0,3,2,6,2,0,7,7,6,1994,2007,1,13,1,44.0,3,3,2,4,3,3,2,343.0,6,0.0,80.0,423.0,5,1,4,896,756,0,1652,1.0,0.0,2,1,3,1,4,6,7,0,3,1994.0,2,2.0,2,0,0,0,0,0,0,0,6,2010,9,4,203135,3.5,0,9.885629034234816,12.221630984446026
299,909455030,120,6,35.0,3907,0,1,4,1,2,4,2,8,6,1989,1989,1,6,3,0.0,4,3,1,4,3,1,2,747.0,6,0.0,235.0,982.0,4,1,4,1034,0,0,1034,1.0,0.0,1,0,1,1,4,4,7,1,1,1989.0,0,2.0,2,141,36,0,0,0,0,0,4,2010,9,4,185000,2.0,36,8.270781013162674,12.128116509451258
300,909455040,120,6,35.0,3907,0,1,4,1,2,4,2,8,5,1989,1989,1,6,3,0.0,4,3,1,4,3,0,2,76.0,6,0.0,1115.0,1191.0,4,1,4,1191,0,0,1191,0.0,0.0,2,0,2,1,4,5,7,1,1,1989.0,3,2.0,2,112,81,0,0,0,0,0,3,2010,9,4,162500,2.0,81,8.270781013162674,11.998439434579149
301,909475140,20,5,100.0,15602,0,3,4,6,2,0,2,7,8,1959,1997,1,3,3,0.0,3,3,1,3,3,3,0,1247.0,6,0.0,254.0,1501.0,3,1,4,1801,0,0,1801,1.0,0.0,2,0,1,1,3,6,7,2,1,1959.0,0,2.0,2,0,54,0,0,161,0,0,3,2010,9,4,289000,3.0,215,9.655218482441182,12.574185427296195
302,910202060,50,6,40.0,5436,3,3,4,11,2,0,0,4,8,1922,2007,1,13,3,0.0,3,4,0,3,3,3,1,735.0,6,0.0,61.0,796.0,4,1,4,796,358,0,1154,1.0,0.0,1,0,3,1,4,7,7,0,5,1922.0,3,1.0,0,0,96,0,0,0,0,0,5,2010,9,4,125500,2.0,96,8.600982717145921,11.74006900564972
303,910203250,30,6,58.0,8154,3,3,4,11,2,0,2,2,5,1941,1950,1,14,3,0.0,3,3,0,3,3,3,1,480.0,6,0.0,0.0,480.0,3,1,4,540,0,0,540,0.0,0.0,1,0,1,1,3,4,7,0,5,1951.0,3,1.0,0,0,0,0,0,0,0,0,4,2010,5,4,82000,1.0,0,9.006386515055114,11.314486721293981
304,910205120,50,6,50.0,9140,3,1,4,11,2,0,0,6,5,1921,1975,1,14,3,0.0,3,3,0,3,3,2,1,308.0,6,0.0,321.0,629.0,2,1,4,727,380,0,1107,0.0,0.0,1,0,2,1,3,5,7,0,5,1950.0,3,1.0,2,0,56,0,0,200,0,0,4,2010,0,4,110000,1.0,256,9.12052506765382,11.608244735642321
305,911128180,50,1,60.0,7500,3,3,4,11,2,0,0,4,4,1920,1950,1,8,3,0.0,3,4,1,3,3,3,6,0.0,6,0.0,698.0,698.0,3,1,0,698,430,0,1128,0.0,0.0,1,0,2,1,3,6,7,0,5,1980.0,2,2.0,2,30,0,164,0,0,0,0,4,2010,0,0,68400,1.0,164,8.922791623969637,11.133142723386813
306,911202100,50,1,66.0,8712,3,1,4,11,2,0,0,4,7,1900,1950,1,8,3,0.0,3,3,4,3,3,2,6,0.0,6,0.0,859.0,859.0,4,1,4,859,319,0,1178,0.0,0.0,1,0,2,1,3,7,7,0,5,1964.0,2,1.0,0,68,0,98,0,0,0,0,1,2010,9,0,102776,1.0,98,9.072571442231286,11.54031687156214
307,911204090,20,1,66.0,8712,3,0,4,11,2,0,2,5,5,1952,1952,3,14,3,0.0,2,3,1,3,3,0,6,0.0,6,0.0,540.0,540.0,3,0,0,1044,0,0,1044,0.0,0.0,1,0,2,1,2,4,7,0,2,1952.0,3,2.0,0,0,0,0,0,0,0,54,6,2010,9,2,55993,1.0,0,9.072571442231286,10.932999821119937
308,911204100,30,1,66.0,8712,3,3,0,11,2,0,2,4,7,1896,1950,3,14,3,0.0,2,2,1,3,3,3,6,0.0,6,0.0,756.0,756.0,4,1,4,952,0,0,952,0.0,0.0,1,0,3,1,3,5,7,0,5,1896.0,2,1.0,0,0,0,265,0,0,0,0,6,2010,9,2,50138,1.0,265,9.072571442231286,10.822554427357035
309,911370510,120,6,44.0,3811,0,1,0,6,0,4,2,8,5,2004,2005,3,5,4,186.0,4,3,2,5,3,1,2,1373.0,6,0.0,221.0,1594.0,5,1,4,1646,0,0,1646,1.0,1.0,2,0,2,1,4,5,7,1,1,2004.0,0,2.0,2,128,53,0,0,155,0,0,5,2010,9,4,246000,3.5,208,8.245909264774093,12.413090879946887
310,914467040,60,5,85.0,11050,3,3,4,14,2,0,5,8,5,1998,1999,1,13,3,0.0,4,3,2,4,3,3,2,615.0,6,0.0,434.0,1049.0,5,1,4,1036,880,0,1916,1.0,0.0,2,1,3,1,4,8,7,1,1,1998.0,3,3.0,2,0,70,0,0,0,0,0,5,2010,9,4,254900,3.5,70,9.310276200588783,12.448630513463613
311,914475090,80,5,74.0,9620,3,3,4,14,2,0,7,6,7,1977,1977,1,9,3,0.0,3,3,1,3,3,3,0,679.0,6,0.0,564.0,1243.0,3,1,4,1285,0,0,1285,0.0,1.0,2,0,3,1,4,6,7,1,1,1977.0,3,2.0,2,375,26,0,0,0,0,80,5,2010,9,4,190000,2.5,26,9.171703488361265,12.154784614286667
312,914476520,20,5,129.0,9196,0,3,4,14,2,0,2,7,5,2003,2003,1,13,3,0.0,4,3,2,5,3,3,6,0.0,6,0.0,1560.0,1560.0,5,1,4,1560,0,0,1560,0.0,0.0,2,0,3,1,4,7,7,0,1,2003.0,0,2.0,2,100,150,0,0,0,0,0,4,2010,9,4,201000,2.0,150,9.126632622902697,12.211065162153215
313,914478045,80,5,74.0,12328,0,3,4,14,2,0,7,6,5,1976,1976,1,6,1,335.0,3,3,1,3,3,0,2,539.0,6,0.0,473.0,1012.0,3,1,4,1034,0,0,1034,1.0,0.0,1,0,3,1,3,6,7,0,1,1976.0,3,3.0,2,0,0,0,0,0,0,0,5,2010,9,4,169900,2.0,0,9.419709489868552,12.042971193457888
314,914478110,90,5,74.0,12760,0,3,4,14,2,2,2,6,5,1976,1976,1,9,3,0.0,3,3,1,3,3,3,6,0.0,6,0.0,1958.0,1958.0,3,1,4,2048,0,0,2048,0.0,0.0,3,0,5,2,3,9,7,0,0,1976.0,3,2.0,2,0,0,0,0,0,0,0,3,2010,3,4,170000,3.0,0,9.454148923733976,12.04355959836804
315,916125360,20,5,82.0,57200,0,0,4,26,2,0,2,5,5,1948,1950,1,14,3,0.0,3,3,1,3,3,0,1,353.0,5,334.0,60.0,747.0,3,1,4,1687,0,0,1687,1.0,0.0,1,0,3,1,3,7,2,2,5,1966.0,3,2.0,0,0,0,50,0,0,0,0,6,2010,9,4,160000,2.0,50,10.954326659732555,11.982935344196433
316,916386010,20,5,88.0,11896,0,3,0,26,2,0,2,7,5,2008,2008,1,13,4,60.0,4,3,2,4,3,3,2,78.0,6,0.0,1258.0,1336.0,5,1,4,1346,0,0,1346,1.0,0.0,2,0,3,1,4,6,7,1,1,2008.0,0,3.0,2,100,48,0,0,0,0,0,5,2010,9,4,220000,3.0,48,9.384041546476526,12.301387370778713
317,916386020,20,5,73.0,9803,3,3,4,26,2,0,2,7,5,2009,2010,1,13,3,0.0,4,3,2,4,3,3,6,0.0,6,0.0,1214.0,1214.0,5,1,4,1214,0,0,1214,0.0,0.0,2,0,2,1,4,6,7,0,1,2010.0,2,2.0,2,0,25,0,0,0,0,0,1,2010,6,5,179781,2.0,25,9.190545744648004,12.099500284773487
318,916386060,60,5,73.0,9802,3,3,4,26,2,0,5,5,5,2006,2007,1,13,3,0.0,3,3,2,4,3,3,6,0.0,6,0.0,384.0,384.0,4,1,4,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,7,0,3,2007.0,0,2.0,2,100,0,0,0,0,0,0,4,2010,9,4,174000,2.5,0,9.190443740261726,12.066816325306588
319,916386090,60,5,92.0,12003,3,3,0,26,2,0,5,8,5,2009,2010,1,13,1,84.0,4,3,2,5,3,3,6,0.0,6,0.0,774.0,774.0,5,1,4,774,1194,0,1968,0.0,0.0,2,1,4,1,5,8,7,1,3,2009.0,0,3.0,2,0,75,0,0,0,0,0,5,2010,6,5,269500,2.5,75,9.392995206560258,12.504327379899443
320,916455170,60,5,80.0,11316,3,3,0,26,2,0,5,7,5,2002,2003,1,13,1,44.0,4,3,2,4,3,3,2,624.0,6,0.0,193.0,817.0,5,1,4,824,1070,0,1894,1.0,0.0,2,1,4,1,4,8,7,1,3,2002.0,0,2.0,2,0,40,0,0,0,0,0,2,2010,9,4,214900,3.5,40,9.334061298965942,12.277932735946903
321,916475110,60,5,85.0,14191,3,3,4,26,2,0,5,8,5,2002,2002,1,13,3,0.0,4,3,2,4,3,3,6,0.0,6,0.0,967.0,967.0,5,1,4,993,915,0,1908,0.0,0.0,2,1,4,1,4,9,7,0,1,2002.0,0,2.0,2,135,0,0,0,0,0,0,4,2010,9,4,202900,2.5,0,9.56043370454936,12.220473454337986
322,921128020,20,5,89.0,13214,0,1,4,26,2,0,2,9,5,2008,2009,3,12,3,0.0,5,3,2,5,3,1,6,0.0,6,0.0,2002.0,2002.0,5,1,4,2018,0,0,2018,0.0,0.0,2,0,3,1,5,10,7,1,1,2009.0,0,3.0,2,144,76,0,0,0,0,0,5,2010,9,4,378500,2.0,76,9.48910782703839,12.843973993864076
323,923201020,20,5,85.0,15300,3,0,4,14,2,0,2,5,5,1965,1977,3,9,3,0.0,3,3,1,3,3,3,5,42.0,6,0.0,1026.0,1068.0,3,1,4,1264,0,0,1264,1.0,0.0,1,0,2,1,3,7,7,1,1,1965.0,3,2.0,2,0,0,0,0,0,0,0,6,2010,9,4,169000,2.0,0,9.635673464721814,12.037659911047468
324,923202105,20,5,93.0,10114,3,3,4,14,2,0,2,5,5,2004,2005,1,13,3,0.0,3,3,2,5,3,0,6,0.0,6,0.0,1430.0,1430.0,5,1,4,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,7,0,1,2004.0,2,2.0,2,0,0,0,0,0,0,0,3,2010,9,4,173500,2.0,0,9.221774749601845,12.063938642041201
325,923204150,90,5,94.0,9400,3,2,0,14,2,2,5,6,5,1971,1971,4,8,3,0.0,3,3,1,3,3,0,6,0.0,6,0.0,912.0,912.0,3,1,4,912,912,0,1824,0.0,0.0,2,2,4,2,3,8,7,0,6,0.0,1,0.0,2,128,0,0,0,0,0,0,4,2010,9,4,139000,3.0,0,9.148571345578551,11.842236406331555
326,923205015,20,5,74.0,11875,3,3,4,14,2,0,2,5,5,1999,1999,1,13,3,0.0,3,3,2,4,3,3,6,0.0,6,0.0,1344.0,1344.0,5,1,4,1344,0,0,1344,0.0,0.0,2,0,3,1,3,7,7,1,1,2001.0,3,2.0,2,328,0,0,0,0,0,0,6,2010,9,4,166500,2.0,0,9.382274835883651,12.022756594390605
327,923225300,160,6,21.0,1974,3,3,4,13,2,4,5,4,5,1973,1973,1,5,3,0.0,3,3,1,3,3,3,1,334.0,6,0.0,212.0,546.0,3,1,4,546,546,0,1092,0.0,0.0,1,1,3,1,3,6,7,0,1,1973.0,2,1.0,2,120,96,0,0,0,0,0,5,2010,9,4,83500,1.5,96,7.5883236773352225,11.332613886815139
328,923225390,120,6,31.0,2394,3,2,4,13,2,3,2,5,6,1973,1973,1,5,3,0.0,3,3,1,4,3,1,2,915.0,6,0.0,30.0,945.0,5,1,4,945,0,0,945,1.0,1.0,1,0,2,1,3,5,7,1,1,1973.0,2,1.0,2,174,0,56,0,108,0,0,5,2010,9,4,119500,2.5,164,7.781138509845015,11.691080018519527
329,923225440,160,6,36.0,2592,3,3,4,13,2,4,5,5,3,1976,1976,1,5,3,0.0,3,3,1,4,3,3,5,129.0,1,232.0,175.0,536.0,3,1,4,536,576,0,1112,0.0,0.0,1,1,3,1,3,4,7,0,1,1976.0,3,1.0,2,182,0,0,0,0,0,0,4,2010,9,4,85000,1.5,0,7.860570785538664,11.350418300109132
330,923226250,160,6,21.0,1476,3,3,4,13,2,3,5,4,7,1970,1970,1,5,3,0.0,3,3,1,3,3,3,2,176.0,6,0.0,370.0,546.0,5,1,4,546,546,0,1092,0.0,0.0,1,1,3,1,3,5,7,0,6,0.0,1,0.0,2,200,26,0,0,0,0,0,3,2010,9,4,76000,1.5,26,7.29776828253138,11.23850177707664
331,923226320,180,6,21.0,1491,3,3,4,13,2,4,6,4,6,1972,1972,1,5,3,0.0,3,3,1,4,3,0,3,150.0,2,480.0,0.0,630.0,5,1,4,630,0,0,630,1.0,0.0,1,0,1,1,3,3,7,0,6,0.0,1,0.0,2,96,24,0,0,0,0,0,5,2010,9,4,75500,2.0,24,7.307872780763706,11.231901180182515
332,923228270,160,6,21.0,1900,3,3,4,13,2,4,5,4,4,1970,1970,1,5,3,0.0,3,3,1,3,3,3,6,0.0,6,0.0,546.0,546.0,5,1,4,546,546,0,1092,0.0,0.0,1,1,3,1,3,5,7,0,6,0.0,1,0.0,2,0,0,0,0,0,0,0,6,2010,9,4,88250,1.5,0,7.550135342488429,11.387940306176102
333,923228370,160,6,21.0,1890,3,3,4,13,2,4,5,4,6,1972,1972,1,5,3,0.0,3,3,1,3,3,3,5,294.0,6,0.0,252.0,546.0,3,1,4,546,546,0,1092,0.0,0.0,1,1,3,1,3,5,7,0,1,1972.0,3,1.0,2,0,0,64,0,0,0,0,6,2010,9,4,85500,1.5,64,7.544861068658458,11.356283350762888
334,923230190,20,5,50.0,6953,3,3,4,14,2,0,2,5,7,1971,2004,1,13,3,0.0,3,4,1,3,3,3,0,469.0,6,0.0,395.0,864.0,5,1,4,874,0,0,874,0.0,0.0,1,0,3,1,3,5,7,0,5,1971.0,3,1.0,2,0,0,0,0,0,0,0,6,2010,3,4,130000,1.0,0,8.847072312567807,11.775297421715827
335,923251080,20,5,74.0,26142,0,3,1,14,2,0,2,5,7,1962,1962,1,6,1,189.0,3,3,1,3,3,3,5,593.0,6,0.0,595.0,1188.0,3,1,4,1188,0,0,1188,0.0,0.0,1,0,3,1,3,6,7,0,1,1962.0,3,1.0,1,261,39,0,0,0,0,0,4,2010,9,4,157900,1.0,39,10.17133674723419,11.969723533345908
336,923276030,20,5,76.0,12887,3,3,4,14,2,0,2,5,7,1984,1984,1,13,3,0.0,3,3,1,4,3,2,5,207.0,2,590.0,36.0,833.0,3,1,4,833,0,0,833,1.0,0.0,1,0,2,1,4,5,7,0,1,1984.0,3,2.0,2,431,0,0,0,0,0,0,4,2010,9,4,149900,2.0,0,9.464051924856811,11.917730355182513
337,923276250,90,5,70.0,7700,3,3,4,14,2,2,5,5,2,1985,1986,1,6,3,0.0,3,1,2,3,3,3,6,0.0,6,0.0,1216.0,1216.0,4,1,4,1216,1216,0,2432,0.0,0.0,4,2,4,2,3,10,7,0,1,1985.0,3,2.0,2,200,0,0,0,0,0,600,2,2010,9,4,159000,5.0,0,8.94910546953925,11.976665770490767
338,923426070,60,5,63.0,10475,3,3,4,14,2,0,5,5,5,1991,1991,1,6,3,0.0,3,3,2,4,3,3,5,458.0,6,0.0,166.0,624.0,4,1,4,624,650,0,1274,0.0,0.0,1,1,3,1,3,6,7,0,5,1993.0,3,2.0,2,22,0,0,0,0,0,0,3,2010,9,4,136000,1.5,0,9.256842205627603,11.820417517632333
339,924100050,50,5,68.0,10544,0,3,4,14,2,0,0,5,5,1969,1969,1,6,3,0.0,3,3,1,3,3,0,1,476.0,6,0.0,388.0,864.0,3,1,4,864,615,0,1479,0.0,0.0,2,0,5,1,3,8,7,0,1,1969.0,0,1.0,2,287,0,280,0,0,0,0,4,2010,9,4,161000,2.0,280,9.263407092912875,11.989165855127435
340,924151040,20,5,76.0,9892,3,3,4,14,2,0,2,8,5,1994,1995,3,13,3,0.0,4,4,2,4,4,1,2,1341.0,3,284.0,54.0,1679.0,5,1,4,1803,0,0,1803,1.0,1.0,2,1,3,1,4,6,7,2,1,1994.0,3,2.0,2,129,64,222,0,0,0,0,2,2010,9,4,285000,4.0,286,9.199582715323222,12.560247968016562
341,924152030,60,5,74.0,12961,3,3,4,14,2,0,5,6,5,1993,1994,1,13,3,0.0,4,4,2,4,3,2,2,944.0,6,0.0,208.0,1152.0,5,1,4,1152,645,0,1797,1.0,0.0,2,1,3,1,4,7,7,1,1,1993.0,0,2.0,2,162,312,0,0,0,0,0,3,2010,9,4,231000,3.5,312,9.469777278987662,12.35017731849889
342,526302110,20,5,74.0,13008,0,3,4,15,2,0,2,6,5,1956,1956,1,8,3,0.0,3,3,1,2,2,3,5,564.0,6,0.0,318.0,882.0,3,1,4,882,0,0,882,0.0,0.0,1,0,2,1,3,5,7,0,1,1956.0,3,1.0,2,0,0,0,0,0,0,0,10,2009,9,4,124500,1.0,0,9.473396704601559,11.732069026983156
